mode,attempts_per_second,medium_expected_seconds,medium_success_rate,medium_successful_users,medium_total_users,medium_worst_seconds,strong_expected_seconds,strong_success_rate,strong_successful_users,strong_total_users,strong_worst_seconds,time_to_first_success_ms,total_attempts,weak_expected_seconds,weak_success_rate,weak_successful_users,weak_total_users,weak_worst_seconds
brute__rate_limit__sha_salt_pepper,5.266574118714683,166863.6916885303,0.0,0,10,333727.3833770606,4.600136531623072e+27,0.0,0,10,9.200273063246144e+27,0.063,6321,1898.7675431102673,0.9,9,10,3797.5350862205346
brute__totp__argon2,18.16298366922278,48384.12102352593,0.0,0,10,96768.24204705186,1.3338645478745125e+27,0.0,0,10,2.667729095749025e+27,420.03000000000003,16875,550.5703348148148,1.0,10,10,1101.1406696296297
brute__totp__argon2_pepper,16.819825969191328,52247.86520441337,0.0,0,10,104495.73040882674,1.4403811338105537e+27,0.0,0,10,2.8807622676211073e+27,380.301,15589,594.5364725126692,1.0,10,10,1189.0729450253384
brute__totp__bcrypt,4.15663580692666,211420.97619800098,0.0,0,10,422841.95239600196,5.828501972587529e+27,0.0,0,10,1.1657003945175059e+28,1704.549,4202,2405.791718229415,1.0,10,10,4811.58343645883
brute__totp__bcrypt_pepper,4.374193711989813,200905.59720553286,0.0,0,10,401811.1944110657,5.538611592255981e+27,0.0,0,10,1.1077223184511963e+28,1570.421,4410,2286.1356077097503,1.0,10,10,4572.271215419501
none__sha_pepper,112876.78825490197,7.785480200016551,0.4,4,10,15.570960400033101,2.1463190417227238e+23,0.5,5,10,4.2926380834454475e+23,0.095,32387320,0.088592173418486,1.0,10,10,0.177184346836972
none__sha_plain,113172.06215819139,7.765167332301655,0.4,4,10,15.53033466460331,2.1407191437526043e+23,0.5,5,10,4.2814382875052087e+23,0.24899999999999997,32387320,0.08836103018094736,1.0,10,10,0.17672206036189472
none__sha_salt,107794.92993202413,8.152517011274783,0.4,4,10,16.305034022549567,2.2475045918465375e+23,0.5,5,10,4.495009183693075e+23,0.07200000000000001,32387320,0.09276874159393245,1.0,10,10,0.1855374831878649
none__sha_salt_pepper,119811.022369755,7.334884408947699,0.4,4,10,14.669768817895399,2.0220977603573002e+23,0.5,5,10,4.0441955207146005e+23,0.09000000000000001,32387320,0.0834647747945801,1.0,10,10,0.1669295495891602
rainbow__account_lock__argon2,19.456020776806646,45168.53729142857,0.0,0,10,90337.07458285714,1.2452165978811428e+27,0.0,0,10,2.4904331957622855e+27,5922.09,875,513.9797142857143,0.6,6,10,1027.9594285714286
rainbow__account_lock__bcrypt,4.419173615872975,198860.7093515152,0.0,0,10,397721.4187030304,5.482237654791516e+27,0.0,0,10,1.0964475309583031e+28,25125.697,198,2262.8665151515156,0.2,2,10,4525.733030303031
rainbow__account_lock__sha_salt_pepper,34.06136693788311,25800.49126045488,0.0,0,10,51600.98252090976,7.112738617972121e+26,0.0,0,10,1.4225477235944242e+27,0.992,1363,293.58774761555395,0.6,6,10,587.1754952311079
rainbow__captcha__argon2,7.27939056601625,120724.39197076023,0.0,0,10,241448.78394152047,3.3281577324760234e+27,0.0,0,10,6.656315464952047e+27,5078.764999999999,342,1373.741374269006,0.6,6,10,2747.482748538012
rainbow__captcha__bcrypt,3.720971188631493,236174.9004359281,0.0,0,10,472349.8008718562,6.510923834621316e+27,0.0,0,10,1.3021847669242632e+28,28975.928,167,2687.4704191616765,0.3,3,10,5374.940838323353
rainbow__captcha__sha_salt_pepper,7.779462748564156,112964.09898770951,0.0,0,10,225928.19797541903,3.114220195279106e+27,0.0,0,10,6.228440390558212e+27,1.053,358,1285.435810055866,0.6,6,10,2570.871620111732
rainbow__none__argon2,17.192801229554412,51114.41633428202,0.0,0,10,102228.83266856403,1.4091339553413713e+27,0.0,0,10,2.8182679106827426e+27,4674.344,773,581.6387839586029,0.6,6,10,1163.2775679172057
rainbow__none__bcrypt,4.388999474099834,200227.86632487312,0.0,0,10,400455.73264974623,5.519927751863959e+27,0.0,0,10,1.1039855503727919e+28,21073.127,197,2278.423604060914,0.3,3,10,4556.847208121828
rainbow__none__sha_salt_pepper,24819.68468554833,35.4073797122691,0.0,0,10,70.8147594245382,9.761187664928936e+23,0.0,0,10,1.9522375329857872e+24,0.694,12482983,0.40290600491885636,1.0,10,10,0.8058120098377127
rainbow__rate_limit__argon2,18.074476209485702,48621.049363455146,0.0,0,10,97242.09872691029,1.3403962427019269e+27,0.0,0,10,2.6807924854038537e+27,6513.5560000000005,301,553.2663787375415,0.6,6,10,1106.532757475083
rainbow__rate_limit__bcrypt,4.673541030096069,188037.2921390476,0.0,0,10,376074.5842780952,5.183855206145904e+27,0.0,0,10,1.0367710412291807e+28,24213.034,210,2139.70519047619,0.2,2,10,4279.41038095238
rainbow__rate_limit__sha_salt_pepper,81307.40140464614,10.808364119601329,0.0,0,10,21.616728239202658,2.9796746152823917e+23,0.0,0,10,5.9593492305647834e+23,0.9430000000000001,301,0.12299003322259136,0.6,6,10,0.24598006644518272
totp__sha_pepper,113355.01390802498,7.752634574356356,0.4,4,10,15.505269148712712,2.1372640842916298e+23,0.5,5,10,4.2745281685832596e+23,0.077,32387339,0.0882184180058757,1.0,10,10,0.1764368360117514
totp__sha_plain,129232.88688806766,6.800126664052271,0.4,4,10,13.600253328104541,1.8746745184903028e+23,0.5,5,10,3.7493490369806055e+23,0.075,32387339,0.07737968438839635,1.0,10,10,0.1547593687767927
totp__sha_salt,124770.46694736178,7.04333342256985,0.4,4,10,14.0866668451397,1.9417223156038103e+23,0.5,5,10,3.883444631207621e+23,0.06999999999999999,32387339,0.08014717139929278,1.0,10,10,0.16029434279858557
totp__sha_salt_pepper,113234.72350661406,7.760870277116623,0.4,4,10,15.521740554233245,2.13953452172159e+23,0.5,5,10,4.27906904344318e+23,0.074,32387339,0.08831213333086735,1.0,10,10,0.1766242666617347
